clip_path,label
C:\Users\dmk it win\Downloads\activity_recognition\dataset_clips\JumpingJack\v_JumpingJack_g01_c01_clip0.npy,JumpingJack
C:\Users\dmk it win\Downloads\activity_recognition\dataset_clips\JumpingJack\v_JumpingJack_g01_c01_clip1.npy,JumpingJack
C:\Users\dmk it win\Downloads\activity_recognition\dataset_clips\JumpingJack\v_JumpingJack_g01_c01_clip2.npy,JumpingJack
C:\Users\dmk it win\Downloads\activity_recognition\dataset_clips\JumpingJack\v_JumpingJack_g01_c01_clip3.npy,JumpingJack
C:\Users\dmk it win\Downloads\activity_recognition\dataset_clips\JumpingJack\v_JumpingJack_g01_c01_clip4.npy,JumpingJack
C:\Users\dmk it win\Downloads\activity_recognition\dataset_clips\JumpingJack\v_JumpingJack_g01_c02_clip0.npy,JumpingJack
C:\Users\dmk it win\Downloads\activity_recognition\dataset_clips\JumpingJack\v_JumpingJack_g01_c02_clip1.npy,JumpingJack
C:\Users\dmk it win\Downloads\activity_recognition\dataset_clips\JumpingJack\v_JumpingJack_g01_c02_clip2.npy,JumpingJack
C:\Users\dmk it win\Downloads\activity_recognition\dataset_clips\JumpingJack\v_JumpingJack_g01_c02_clip3.npy,JumpingJack
C:\Users\dmk it win\Downloads\activity_recognition\dataset_clips\JumpingJack\v_JumpingJack_g01_c02_clip4.npy,JumpingJack
C:\Users\dmk it win\Downloads\activity_recognition\dataset_clips\JumpingJack\v_JumpingJack_g01_c03_clip0.npy,JumpingJack
C:\Users\dmk it win\Downloads\activity_recognition\dataset_clips\JumpingJack\v_JumpingJack_g01_c03_clip1.npy,JumpingJack
C:\Users\dmk it win\Downloads\activity_recognition\dataset_clips\JumpingJack\v_JumpingJack_g01_c03_clip2.npy,JumpingJack
C:\Users\dmk it win\Downloads\activity_recognition\dataset_clips\JumpingJack\v_JumpingJack_g01_c03_clip3.npy,JumpingJack
C:\Users\dmk it win\Downloads\activity_recognition\dataset_clips\JumpingJack\v_JumpingJack_g01_c03_clip4.npy,JumpingJack
C:\Users\dmk it win\Downloads\activity_recognition\dataset_clips\JumpingJack\v_JumpingJack_g01_c04_clip0.npy,JumpingJack
C:\Users\dmk it win\Downloads\activity_recognition\dataset_clips\JumpingJack\v_JumpingJack_g01_c04_clip1.npy,JumpingJack
C:\Users\dmk it win\Downloads\activity_recognition\dataset_clips\JumpingJack\v_JumpingJack_g01_c04_clip2.npy,JumpingJack
C:\Users\dmk it win\Downloads\activity_recognition\dataset_clips\JumpingJack\v_JumpingJack_g01_c04_clip3.npy,JumpingJack
C:\Users\dmk it win\Downloads\activity_recognition\dataset_clips\JumpingJack\v_JumpingJack_g01_c04_clip4.npy,JumpingJack
